seed,task_id,policy,success_rate,capped_steps
73000007,9,fixed_generic,1.0,10.0
73000007,9,fixed_task,1.0,10.0
73000007,9,doob_generic,1.0,10.0
73000007,9,doob_task,1.0,10.0
73000007,9,deadline_generic,1.0,10.0
73000007,9,deadline_task,1.0,10.0
73000007,10,fixed_generic,1.0,8.0
73000007,10,fixed_task,1.0,8.0
73000007,10,doob_generic,1.0,8.0
73000007,10,doob_task,1.0,8.0
73000007,10,deadline_generic,1.0,8.0
73000007,10,deadline_task,1.0,8.0
73000007,11,fixed_generic,1.0,10.0
73000007,11,fixed_task,1.0,10.0
73000007,11,doob_generic,1.0,10.0
73000007,11,doob_task,1.0,10.0
73000007,11,deadline_generic,1.0,10.0
73000007,11,deadline_task,1.0,10.0
