slip,seed,task_id,task_type,method,success,steps,replans,why,shortest_in_model,learned_states
0.2,2202,35,condition_then,linear,True,11,1,success,7,133
0.2,2202,35,condition_then,linear_empirical,True,11,1,success,7,133
0.2,2202,35,condition_then,shortest,True,11,1,success,7,133
0.2,2202,35,condition_then,expected,True,7,1,success,7,133
0.2,2202,36,branch,linear,True,9,1,success,8,133
0.2,2202,36,branch,linear_empirical,True,9,1,success,8,133
0.2,2202,36,branch,shortest,True,11,1,success,8,133
0.2,2202,36,branch,expected,True,11,1,success,8,133
0.2,2202,37,branch,linear,True,19,1,success,9,133
0.2,2202,37,branch,linear_empirical,True,25,1,success,9,133
0.2,2202,37,branch,shortest,True,35,1,success,9,133
0.2,2202,37,branch,expected,True,25,1,success,9,133
0.2,2202,38,branch,linear,True,22,1,success,10,133
0.2,2202,38,branch,linear_empirical,True,22,1,success,10,133
0.2,2202,38,branch,shortest,False,20,1,slipped into a state the model has never seen,10,133
0.2,2202,38,branch,expected,True,24,1,success,10,133
0.2,2202,39,branch,linear,True,11,1,success,9,133
0.2,2202,39,branch,linear_empirical,True,11,1,success,9,133
0.2,2202,39,branch,shortest,True,11,1,success,9,133
0.2,2202,39,branch,expected,True,11,1,success,9,133
0.2,2202,40,branch,linear,True,7,1,success,6,133
0.2,2202,40,branch,linear_empirical,True,7,1,success,6,133
0.2,2202,40,branch,shortest,True,7,1,success,6,133
0.2,2202,40,branch,expected,True,7,1,success,6,133
0.2,2202,41,branch,linear,True,11,1,success,11,133
0.2,2202,41,branch,linear_empirical,True,11,1,success,11,133
0.2,2202,41,branch,shortest,True,11,1,success,11,133
0.2,2202,41,branch,expected,True,11,1,success,11,133
0.2,2202,42,branch,linear,True,44,1,success,11,133
0.2,2202,42,branch,linear_empirical,True,12,1,success,11,133
0.2,2202,42,branch,shortest,True,44,1,success,11,133
0.2,2202,42,branch,expected,True,12,1,success,11,133
0.2,2202,43,branch,linear,True,12,1,success,7,133
0.2,2202,43,branch,linear_empirical,True,13,1,success,7,133
0.2,2202,43,branch,shortest,True,13,1,success,7,133
0.2,2202,43,branch,expected,True,13,1,success,7,133
0.2,2202,44,branch,linear,True,14,1,success,9,133
0.2,2202,44,branch,linear_empirical,False,8,1,slipped into a state the model has never seen,9,133
0.2,2202,44,branch,shortest,True,129,1,success,9,133
0.2,2202,44,branch,expected,True,15,1,success,9,133
0.2,2202,45,branch,linear,True,8,1,success,7,133
0.2,2202,45,branch,linear_empirical,True,8,1,success,7,133
0.2,2202,45,branch,shortest,True,9,1,success,7,133
0.2,2202,45,branch,expected,True,8,1,success,7,133
0.2,2303,0,sequence,linear,True,28,1,success,20,93
0.2,2303,0,sequence,linear_empirical,True,28,1,success,20,93
0.2,2303,0,sequence,shortest,True,28,1,success,20,93
0.2,2303,0,sequence,expected,True,28,1,success,20,93
0.2,2303,1,all_of,linear,True,12,1,success,10,93
0.2,2303,1,all_of,linear_empirical,True,12,1,success,10,93
0.2,2303,1,all_of,shortest,True,12,1,success,10,93
0.2,2303,1,all_of,expected,True,12,1,success,10,93
0.2,2303,2,condition_then,linear,True,3,1,success,3,93
0.2,2303,2,condition_then,linear_empirical,True,3,1,success,3,93
0.2,2303,2,condition_then,shortest,True,3,1,success,3,93
0.2,2303,2,condition_then,expected,True,3,1,success,3,93
0.2,2303,3,sequence,linear,True,210,1,success,21,93
0.2,2303,3,sequence,linear_empirical,True,210,1,success,21,93
0.2,2303,3,sequence,shortest,True,74,1,success,21,93
0.2,2303,3,sequence,expected,True,70,1,success,21,93
0.2,2303,4,all_of,linear,True,18,1,success,16,93
0.2,2303,4,all_of,linear_empirical,True,18,1,success,16,93
0.2,2303,4,all_of,shortest,True,18,1,success,16,93
0.2,2303,4,all_of,expected,True,18,1,success,16,93
0.2,2303,5,condition_then,linear,True,19,1,success,9,93
0.2,2303,5,condition_then,linear_empirical,True,23,1,success,9,93
0.2,2303,5,condition_then,shortest,True,9,1,success,9,93
0.2,2303,5,condition_then,expected,True,19,1,success,9,93
0.2,2303,6,sequence,linear,True,14,1,success,12,93
0.2,2303,6,sequence,linear_empirical,True,14,1,success,12,93
0.2,2303,6,sequence,shortest,True,62,1,success,12,93
0.2,2303,6,sequence,expected,True,14,1,success,12,93
0.2,2303,7,all_of,linear,True,39,1,success,12,93
0.2,2303,7,all_of,linear_empirical,True,15,1,success,12,93
0.2,2303,7,all_of,shortest,True,14,1,success,12,93
0.2,2303,7,all_of,expected,True,14,1,success,12,93
0.2,2303,8,condition_then,linear,True,10,1,success,6,93
0.2,2303,8,condition_then,linear_empirical,True,10,1,success,6,93
0.2,2303,8,condition_then,shortest,True,10,1,success,6,93
0.2,2303,8,condition_then,expected,True,10,1,success,6,93
0.2,2303,9,sequence,linear,True,31,1,success,17,93
0.2,2303,9,sequence,linear_empirical,True,29,1,success,17,93
0.2,2303,9,sequence,shortest,True,23,1,success,17,93
0.2,2303,9,sequence,expected,True,23,1,success,17,93
0.2,2303,10,all_of,linear,True,20,1,success,16,93
0.2,2303,10,all_of,linear_empirical,True,20,1,success,16,93
0.2,2303,10,all_of,shortest,True,20,1,success,16,93
0.2,2303,10,all_of,expected,True,20,1,success,16,93
0.2,2303,11,condition_then,linear,True,20,1,success,17,93
0.2,2303,11,condition_then,linear_empirical,True,20,1,success,17,93
0.2,2303,11,condition_then,shortest,True,20,1,success,17,93
0.2,2303,11,condition_then,expected,True,17,1,success,17,93
0.2,2303,12,sequence,linear,True,45,1,success,18,93
0.2,2303,12,sequence,linear_empirical,True,45,1,success,18,93
0.2,2303,12,sequence,shortest,True,45,1,success,18,93
0.2,2303,12,sequence,expected,True,45,1,success,18,93
0.2,2303,13,all_of,linear,True,119,1,success,11,93
0.2,2303,13,all_of,linear_empirical,True,119,1,success,11,93
0.2,2303,13,all_of,shortest,True,11,1,success,11,93
0.2,2303,13,all_of,expected,True,11,1,success,11,93
0.2,2303,14,condition_then,linear,True,305,1,success,9,93
0.2,2303,14,condition_then,linear_empirical,True,305,1,success,9,93
0.2,2303,14,condition_then,shortest,True,161,1,success,9,93
0.2,2303,14,condition_then,expected,True,161,1,success,9,93
0.2,2303,15,sequence,linear,True,17,1,success,17,93
0.2,2303,15,sequence,linear_empirical,True,17,1,success,17,93
0.2,2303,15,sequence,shortest,True,17,1,success,17,93
0.2,2303,15,sequence,expected,True,17,1,success,17,93
0.2,2303,16,all_of,linear,True,18,1,success,14,93
0.2,2303,16,all_of,linear_empirical,True,18,1,success,14,93
0.2,2303,16,all_of,shortest,True,18,1,success,14,93
0.2,2303,16,all_of,expected,True,18,1,success,14,93
0.2,2303,17,condition_then,linear,True,15,1,success,11,93
0.2,2303,17,condition_then,linear_empirical,True,15,1,success,11,93
0.2,2303,17,condition_then,shortest,True,15,1,success,11,93
0.2,2303,17,condition_then,expected,True,15,1,success,11,93
0.2,2303,18,sequence,linear,True,16,1,success,14,93
0.2,2303,18,sequence,linear_empirical,True,16,1,success,14,93
0.2,2303,18,sequence,shortest,True,16,1,success,14,93
0.2,2303,18,sequence,expected,True,16,1,success,14,93
0.2,2303,19,all_of,linear,True,19,1,success,11,93
0.2,2303,19,all_of,linear_empirical,True,19,1,success,11,93
0.2,2303,19,all_of,shortest,True,33,1,success,11,93
0.2,2303,19,all_of,expected,True,19,1,success,11,93
0.2,2303,20,condition_then,linear,True,5,1,success,5,93
0.2,2303,20,condition_then,linear_empirical,True,5,1,success,5,93
0.2,2303,20,condition_then,shortest,True,5,1,success,5,93
0.2,2303,20,condition_then,expected,True,5,1,success,5,93
0.2,2303,21,sequence,linear,True,84,1,success,24,93
0.2,2303,21,sequence,linear_empirical,True,65,1,success,24,93
0.2,2303,21,sequence,shortest,True,70,1,success,24,93
0.2,2303,21,sequence,expected,True,65,1,success,24,93
0.2,2303,22,all_of,linear,True,26,1,success,16,93
0.2,2303,22,all_of,linear_empirical,True,22,1,success,16,93
0.2,2303,22,all_of,shortest,True,34,1,success,16,93
0.2,2303,22,all_of,expected,True,26,1,success,16,93
0.2,2303,23,condition_then,linear,True,148,1,success,8,93
0.2,2303,23,condition_then,linear_empirical,True,85,1,success,8,93
0.2,2303,23,condition_then,shortest,True,12,1,success,8,93
0.2,2303,23,condition_then,expected,True,12,1,success,8,93
0.2,2303,24,sequence,linear,True,99,1,success,24,93
0.2,2303,24,sequence,linear_empirical,True,99,1,success,24,93
0.2,2303,24,sequence,shortest,True,99,1,success,24,93
0.2,2303,24,sequence,expected,True,99,1,success,24,93
0.2,2303,25,all_of,linear,True,22,1,success,20,93
0.2,2303,25,all_of,linear_empirical,True,22,1,success,20,93
0.2,2303,25,all_of,shortest,True,22,1,success,20,93
0.2,2303,25,all_of,expected,True,22,1,success,20,93
0.2,2303,26,condition_then,linear,True,21,1,success,17,93
0.2,2303,26,condition_then,linear_empirical,True,23,1,success,17,93
0.2,2303,26,condition_then,shortest,True,45,1,success,17,93
0.2,2303,26,condition_then,expected,True,45,1,success,17,93
0.2,2303,27,sequence,linear,True,32,1,success,18,93
0.2,2303,27,sequence,linear_empirical,True,32,1,success,18,93
0.2,2303,27,sequence,shortest,True,28,1,success,18,93
0.2,2303,27,sequence,expected,True,29,1,success,18,93
0.2,2303,28,all_of,linear,True,21,1,success,11,93
0.2,2303,28,all_of,linear_empirical,True,22,1,success,11,93
0.2,2303,28,all_of,shortest,True,13,1,success,11,93
0.2,2303,28,all_of,expected,True,13,1,success,11,93
0.2,2303,29,condition_then,linear,True,7,1,success,7,93
0.2,2303,29,condition_then,linear_empirical,True,7,1,success,7,93
0.2,2303,29,condition_then,shortest,True,7,1,success,7,93
0.2,2303,29,condition_then,expected,True,7,1,success,7,93
0.2,2303,30,sequence,linear,True,107,1,success,21,93
0.2,2303,30,sequence,linear_empirical,True,89,1,success,21,93
0.2,2303,30,sequence,shortest,True,115,1,success,21,93
0.2,2303,30,sequence,expected,True,27,1,success,21,93
0.2,2303,31,all_of,linear,True,50,1,success,19,93
0.2,2303,31,all_of,linear_empirical,True,50,1,success,19,93
0.2,2303,31,all_of,shortest,True,50,1,success,19,93
0.2,2303,31,all_of,expected,True,21,1,success,19,93
0.2,2303,32,condition_then,linear,True,19,1,success,15,93
0.2,2303,32,condition_then,linear_empirical,True,19,1,success,15,93
0.2,2303,32,condition_then,shortest,True,19,1,success,15,93
0.2,2303,32,condition_then,expected,True,20,1,success,15,93
0.2,2303,33,sequence,linear,True,31,1,success,19,93
0.2,2303,33,sequence,linear_empirical,True,31,1,success,19,93
0.2,2303,33,sequence,shortest,True,21,1,success,19,93
0.2,2303,33,sequence,expected,True,31,1,success,19,93
0.2,2303,34,all_of,linear,True,32,1,success,18,93
0.2,2303,34,all_of,linear_empirical,True,32,1,success,18,93
0.2,2303,34,all_of,shortest,True,31,1,success,18,93
0.2,2303,34,all_of,expected,True,32,1,success,18,93
0.2,2303,35,condition_then,linear,True,57,1,success,10,93
0.2,2303,35,condition_then,linear_empirical,True,44,1,success,10,93
0.2,2303,35,condition_then,shortest,True,57,1,success,10,93
0.2,2303,35,condition_then,expected,True,44,1,success,10,93
0.2,2303,36,branch,linear,True,7,1,success,7,93
0.2,2303,36,branch,linear_empirical,True,7,1,success,7,93
0.2,2303,36,branch,shortest,True,7,1,success,7,93
0.2,2303,36,branch,expected,True,7,1,success,7,93
0.2,2303,37,branch,linear,True,12,1,success,10,93
0.2,2303,37,branch,linear_empirical,True,12,1,success,10,93
0.2,2303,37,branch,shortest,True,12,1,success,10,93
0.2,2303,37,branch,expected,True,12,1,success,10,93
0.2,2303,38,branch,linear,True,14,1,success,11,93
0.2,2303,38,branch,linear_empirical,True,14,1,success,11,93
0.2,2303,38,branch,shortest,True,14,1,success,11,93
0.2,2303,38,branch,expected,True,14,1,success,11,93
0.2,2303,39,branch,linear,True,8,1,success,8,93
0.2,2303,39,branch,linear_empirical,True,8,1,success,8,93
0.2,2303,39,branch,shortest,True,8,1,success,8,93
0.2,2303,39,branch,expected,True,8,1,success,8,93
0.2,2303,40,branch,linear,True,29,1,success,8,93
0.2,2303,40,branch,linear_empirical,True,29,1,success,8,93
